Date,Description,In (£),Out (£),Balance (£)
01-Apr-2018,"IMPS-MOB/Fund Trf/809119519742/Oma
Ram/BENE - VER",1.0,0.0,22.62
01-Apr-2018,"IMPS-MOB/Fund Trf/809119553510/Oma
Ram/2000",2000.0,0.0,2022.62
03-Apr-2018,NACH/TP ACH Bajaj Finanac/88551679,0.0,1912.0,110.62
04-Apr-2018,APB-INW/HP644950 000009 3003,170.2,0.0,280.82
04-Apr-2018,POS-VISA/KARUN MEDICAL/809414290216,0.0,75.0,205.82
05-Apr-2018,"IMPS-MOB/Fund Trf/809521437177/NITI
N POOJARI/null",3200.0,0.0,3405.82
10-Apr-2018,"BILLPAY/RECH/VODAFONE PRE/181000095
662/10042018",0.0,509.0,2896.82
10-Apr-2018,"ATM-NFS/CASH WITHDRAWAL/+DONGRI OAT
M/810020011497",0.0,2000.0,896.82
14-Apr-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/810418",0.0,500.0,396.82
20-Apr-2018,"IMPS-RIB/Fund Trf/811010759849/Pay
Rs300",0.0,300.0,96.82
20-Apr-2018,"IMPS-RIB/FT-REV/811010759849/Pay Rs
300",300.0,0.0,396.82
20-Apr-2018,POS-VISA/MANSI MEDICAL/811013502615,0.0,75.0,321.82
22-Apr-2018,"IMPS-MOB/Fund Trf/811212400262/Chan
drakant Yuv/BE",1.0,0.0,322.82
22-Apr-2018,"IMPS-MOB/Fund Trf/811212428216/Chan
drakant Yuv/ch",4999.0,0.0,5321.82
22-Apr-2018,"IMPS-RIB/Fund Trf/811212820665/Pay
salary",0.0,1000.0,4321.82
22-Apr-2018,"IMPS-RIB/Fund Trf/811213820961/Pay
for salary",0.0,500.0,3821.82
23-Apr-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/811309",0.0,1000.0,2821.82
23-Apr-2018,"IMPS-RIB/Fund Trf/811320861437/Pay
salaryRs2500",0.0,2500.0,321.82
23-Apr-2018,"IMPS-RIB/Fund Trf/811321862644/Pay
300",0.0,300.0,21.82
03-May-2018,"IMPS-INET/Fund Trf/812321002185/Cha
ndrakant Yuv/I",2000.0,0.0,2021.82
05-May-2018,NACH/TP ACH Bajaj Finanac/97127969,0.0,1912.0,109.82
09-May-2018,"ATM-NFS/CASH WITHDRAWAL/+WHITE HOUS
E/812912009989",0.0,100.0,9.82
09-May-2018,"IMPS-MOB/Fund Trf/812917902484/SACH
IN PANDURAN/Fr",200.0,0.0,209.82
11-May-2018,"IMPS-RIB/Fund Trf/813114420579/Pay
salary",0.0,200.0,9.82
11-May-2018,"IMPS-RIB/FT-REV/813114420579/Pay sa
lary",200.0,0.0,209.82
11-May-2018,"IMPS-RIB/Fund Trf/813117426391/Pay
for arjant",0.0,200.0,9.82
11-May-2018,"IMPS-RIB/FT-REV/813117426391/Pay fo
r arjant",200.0,0.0,209.82
12-May-2018,"BILLPAY/RECH/IDEA PREPAID/181320083
270/12052018",0.0,27.0,182.82
16-May-2018,"ATM-NFS/CASH WITHDRAWAL/+Sandhurst
Road/8136190082",0.0,100.0,82.82
17-May-2018,APB-INW/HP644950 012055 1405,134.06,0.0,216.88
17-May-2018,"IMPS-MOB/Fund Trf/813700005886/RID-
24 SP/9090",6000.0,0.0,6216.88
18-May-2018,"IMPS-MOB/Fund Trf/813800005916/RID-
24 SP/0098",1200.0,0.0,7416.88
18-May-2018,"ATM-NFS/CASH WITHDRAWAL/+WADIBUNDER
/813810005906",0.0,500.0,6916.88
20-May-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/814016",0.0,500.0,6416.88
20-May-2018,POS-VISA/KARUN MEDICAL/814016444557,0.0,75.0,6341.88
21-May-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/814110",0.0,1000.0,5341.88
21-May-2018,"POS-VISA/FLIPKART PAYMENTS/81410945
1953",0.0,569.0,4772.88
21-May-2018,"ATM-NFS/CASH WITHDRAWAL/+GOVANDI EA
ST BR/814117029",0.0,3000.0,1772.88
21-May-2018,POS-VISA/HOTEL SAROJ/814118881722,0.0,300.0,1472.88
23-May-2018,"BILLPAY/RECH/VODAFONE PRE/181430064
620/23052018",0.0,100.0,1372.88
23-May-2018,"BILLPAY/RECH/TATASKY DTH/1814300658
42/23052018",0.0,1000.0,372.88
01-Jun-2018,"POS-VISA/Upper Crust Foods Pvt THAN
E/815214619098",0.0,261.0,111.88
01-Jun-2018,"IMPS-MOB/Fund Trf/815200006812/RID-
24 SP/Payment",2000.0,0.0,2111.88
02-Jun-2018,NACH/TP ACH Bajaj Finanac/101294174,0.0,1912.0,199.88
06-Jun-2018,"Charge:Cash Wdl at other ATM/Inv270
5181513668571/2",0.0,20.0,179.88
06-Jun-2018,"CGST on Charge:Cash Wdl at other AT
M/Inv2705181513",0.0,1.8,178.08
06-Jun-2018,"SGST on Charge:Cash Wdl at other AT
M/Inv2705181513",0.0,1.8,176.28
19-Jun-2018,APB-INW/HP644950 018603 1106,180.19,0.0,356.47
30-Jun-2018,CREDIT INTEREST CRED,9.0,0.0,365.47
01-Jul-2018,"IMPS-MOB/Fund Trf/818200008670/RID-
24 SP/Pay for",2000.0,0.0,2365.47
02-Jul-2018,NACH/TP ACH Bajaj Finanac/108265552,0.0,1912.0,453.47
03-Jul-2018,POS-VISA/KARUN MEDICAL/818406584956,0.0,75.0,378.47
05-Jul-2018,"IMPS-MOB/Fund Trf/818600008933/RID-
24 SP/Pay forl",6000.0,0.0,6378.47
05-Jul-2018,"BILLPAY/QUICK/Tata Power /181862237
092/05072018",0.0,4708.0,1670.47
06-Jul-2018,"POS-VISA/Chembur Trombay EducatMUMB
AI/818716574514",0.0,473.56,1196.91
07-Jul-2018,"BILLPAY/RECH/VIDEOCON DTH/181882351
400/07072018",0.0,285.0,911.91
07-Jul-2018,"BILLPAY/RECH/AIRTEL PREPA/181882382
248/07072018",0.0,199.0,712.91
08-Jul-2018,"BILLPAY/RECH/IDEA PREPAID/181892448
103/08072018",0.0,398.0,314.91
13-Jul-2018,POS-VISA/MANSI MEDICAL/819413057303,0.0,75.0,239.91
13-Jul-2018,POS-VISA/MANSI MEDICAL/819413154044,0.0,229.0,10.91
21-Jul-2018,APB-INW/HP644950 027334 1307,234.41,0.0,245.32
24-Jul-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/820500",0.0,100.0,145.32
24-Jul-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/820500",0.0,100.0,45.32
02-Aug-2018,"IMPS-MOB/Fund Trf/821400010710/BAYY
AN MA/Ok",2000.0,0.0,2045.32
06-Aug-2018,"ATM-NFS/CASH WITHDRAWAL/+GRANT ROAD
BR/82181001789",0.0,500.0,1545.32
07-Aug-2018,"IMPS-INET/Fund Trf/821922266679/Cha
n/Neft_transac",1000.0,0.0,2545.32
08-Aug-2018,POS-VISA/MOBIKWK/822005940645,0.0,2362.0,183.32
13-Aug-2018,"ATM-NFS/CASH WITHDRAWAL/NEAR HINDUJ
A COLLEGE/82251",0.0,100.0,83.32
15-Aug-2018,POS-VISA/KARUN MEDICAL/822706734149,0.0,75.0,8.32
17-Aug-2018,"IMPS-RIB/Fund Trf/823000040666/Pay
for argant",0.0,3.0,5.32
31-Aug-2018,"IMPS-MOB/Fund Trf/824301262361/FINN
OVATION DIS/Ac",1.0,0.0,6.32
31-Aug-2018,"IMPS-MOB/Fund Trf/824301262609/FINN
OVATION DIS/Di",4500.0,0.0,4506.32
31-Aug-2018,"ATM-NFS/CASH WITHDRAWAL/+BOB/824315
013476",0.0,500.0,4006.32
01-Sep-2018,POS-VISA/KARUN MEDICAL/824405792484,0.0,75.0,3931.32
01-Sep-2018,"ATM-NFS/CASH WITHDRAWAL/+DEONAR ST
ROAD/8244112849",0.0,500.0,3431.32
01-Sep-2018,POS-VISA/MOBIKWIK/824416007647,0.0,285.0,3146.32
02-Sep-2018,"ATM-NFS/CASH WITHDRAWAL/+TATA NAGAR
/824511007593",0.0,500.0,2646.32
03-Sep-2018,POS-VISA/MOBIKWIK/824604139262,0.0,285.0,2361.32
03-Sep-2018,NACH/TP ACH Bajaj Finanac/122175597,0.0,1912.0,449.32
04-Sep-2018,POS-VISA/MOBIKWIK/824711501605,0.0,285.0,164.32
05-Sep-2018,APB-INW/HP644950 041318 2708,268.63,0.0,432.95
05-Sep-2018,"BILLPAY/RECH/VIDEOCON DTH/182486873
315/05092018",0.0,285.0,147.95
05-Sep-2018,"BILLPAY/RECHONREV/182486873315/0509
2018",285.0,0.0,432.95
05-Sep-2018,"BILLPAY/RECH/VIDEOCON DTH/182486873
393/05092018",0.0,285.0,147.95
